Player,My C Won,Hands,Raise First,Limp,Att To Steal (SB),3Bet BB v SB,Call BB v SB,Fold BB v SB,Call PF 2Bet,3Bet PF,3Bet Steal,2Bet PF & Fold,Raise & 4Bet+ PF ,Fold to PF 4Bet+,3Bet PF & Fold,CBet F,Flop Cbet (HU),CBet T,CBet R,Fold to F CBet,Fold to F Cbet (HU),Fold to F CBet (3B),Fold to F CBet (non-3B),CBet F & Fold,XR Flop,Fold to F XR,Donk F,Donk T,Bet R & WSD,Call R & WSD,WSD,WSD (ns)
HC0408,-110.55,392,29.81,14.61,22.22,20,80,0,56.96,10.76,10.81,0,8.33,6.67,0,91.84,96.97,93.55,63.16,28.75,15,5.88,34.92,0,10,0,1.39,0,80,10.71,43.04,50
Airdash,22.56,384,30.96,4.07,64.71,16.67,83.33,0,33.33,18.6,19.23,0,83.33,14.29,0,100,100,100,100,30.3,15.15,16.67,33.33,0,16.67,0,36.11,21.05,46.94,31.25,42.03,30
gordss,139.04,380,24.12,0,10,10,0,90,13.38,12.1,10,0,16.67,18.18,0,95,100,86.96,75,16.67,6.67,6.67,26.67,0,11.54,0,0,0,91.67,20,50,70
DirtyDouble2,175.62,374,40,3.21,52.94,30,60,10,23.57,17.83,11.86,0,10.53,0,0,96.3,100,88,63.16,28.57,14.29,26.67,30.77,0,30.3,0,16.22,26.09,90,20.83,54.05,63.64
shy_kulit,-4.92,371,8.47,28.7,6.25,0,71.43,28.57,44.12,2.94,0,0,0,100,,93.33,90.91,100,25,21.95,9.76,0,25,0,5.13,0,10.81,0,86.67,25,54.9,60
shan393,37.89,364,32.74,2.63,61.54,28.57,28.57,42.86,21.28,12.06,12.82,0,33.33,0,0,97.96,100,66.67,87.5,20,6.67,7.69,29.41,0,23.33,0,3.45,17.65,68.42,30.77,43.9,85.71
meris,-28.60,362,14.81,27.75,11.76,42.86,14.29,42.86,51.88,5.26,11.54,0,50,0,0,62.5,100,62.5,100,37.74,5.66,20,41.86,,3.92,0,4.17,3.7,62.5,23.81,46.77,75
Slothario,-60.40,360,11.76,39.72,6.25,,,,59.85,0.76,0,0,14.29,9.09,,94.12,100,62.5,100,37.5,12.5,7.69,45.1,0,0,0,8.62,0,91.67,16.67,54.05,20
getthebear,-84.62,356,19.3,3.66,31.58,0,70,30,25.18,5.04,0,0,0,20,0,89.47,100,87.5,83.33,38.24,14.71,30.77,42.86,0,3.57,0,6.45,5.56,87.5,30,54.17,50
MAIRONFO,191.73,354,32.59,4.24,50,80,20,0,11.61,21.94,32.26,0,37.5,11.11,0,91.67,92.11,85.71,87.5,9.09,4.55,0,20,11.11,23.81,0,0,0,78.95,30.77,53.49,57.14
IntoTheBrain,24.16,337,42.21,3.11,27.27,16.67,83.33,0,24.63,20.15,29.03,0,35,15.38,0,96.67,100,62.86,66.67,35.48,19.35,40,31.25,8.33,26.09,11.11,32.5,17.65,64,33.33,52.94,56.25
Parfenn,120.22,328,28.8,0.6,60,50,25,25,14.07,16.3,31.03,0,7.14,0,0,95.65,96.15,81.48,54.55,30.43,13.04,8.33,54.55,11.11,12.5,0,12.5,0,71.43,30,56.76,75
huracan mdp,145.82,324,21.34,4.6,42.86,16.67,83.33,0,43.09,1.63,4.44,0,9.09,0,0,95,100,100,100,16.98,5.66,0,24.32,0,35.14,0,2.5,5,81.25,26.67,64.1,66.67
Brama Br,-220.29,324,63.52,5.88,71.43,33.33,66.67,0,53.78,22.69,8.89,0,70.27,0,0,79.07,81.03,73.81,78.26,11.54,7.69,0,18.75,5.26,22.86,8.33,18.64,10,59.26,34.21,50,6.67
Alex.S2882,-63.80,323,32.68,12,44.44,0,50,50,32.46,16.67,15.63,0,50,0,0,73.08,74.36,76,75,33.33,13.89,18.18,40,0,3.13,0,3.33,21.74,56.52,25,44.44,44.44
w88vic,-15.70,320,3.38,29.94,0,0,75,25,29.93,0.73,0,0,50,0,,100,100,66.67,100,29.63,14.81,33.33,29.17,0,13.64,0,4.55,0,87.5,63.64,64.52,
JSLDUK,14.62,317,16.98,23.63,13.33,0,87.5,12.5,40.65,4.07,3.13,0,36.36,0,,100,100,60,75,37.14,5.71,14.29,42.86,0,0,0,40.63,21.74,85.71,33.33,66.67,100
k1rp4v3nsk3,-438.12,313,20.59,16.88,9.09,0,100,0,42.66,6.99,8.57,0,0,0,0,70,85.71,100,50,15.38,7.69,14.29,15.79,0,10,0,7.5,0,66.67,17.24,38.6,50
"""Pow3rP0k3r""",-270.73,311,52.35,13.29,55.56,0,100,0,61.54,11.54,10,0,13.64,0,0,75.44,80.65,69.23,46.15,17.65,9.41,3.33,25.45,0,18.46,0,1.59,6.38,61.11,24.14,48.42,50
ChinaBoy420,73.32,308,41.67,0.6,54.55,23.08,23.08,53.85,26.02,16.26,20.93,0,11.76,0,0,82.5,81.82,72.73,66.67,29.79,19.15,17.39,41.67,33.33,8.33,0,0,0,94.12,33.33,65.12,33.33
Blackadder77,-61.37,301,34.35,2.13,9.09,20,20,60,16.13,13.71,16.67,0,22.22,20,0,83.78,91.67,72.22,83.33,20,16.67,21.05,18.18,0,24,0,3.7,5.26,66.67,31.25,47.37,50
SirRomanov,79.23,299,32.62,1.26,80,9.09,63.64,27.27,20.17,20.17,15.38,0,25,10,0,95.24,100,83.33,71.43,21.21,15.15,6.67,33.33,22.22,14.29,33.33,9.52,7.14,83.33,29.41,53.85,50
italianhero4,-22.42,294,30.26,1.78,64.71,40,60,0,32.99,16.49,16.67,0,0,14.29,0,94.87,100,100,57.14,30,22.5,6.67,44,0,17.5,0,0,0,66.67,18.18,45.95,0
Fabulous108,-28.86,294,33.33,2.86,77.78,10,70,20,35,15,18.18,0,7.69,13.33,0,76.47,84,73.33,66.67,22.92,16.67,5,35.71,0,18.42,0,4.65,5.56,75,28.57,46,69.23
benyeiantal,-9.68,290,29.09,0,37.5,20,80,0,23.02,17.99,6.67,7.69,30.77,16.67,0,95.12,100,90.32,55,9.68,6.45,7.69,11.11,0,30.43,0,3.45,12.5,72.22,20,48.94,66.67
Buckadrew,96.97,285,25.34,3.16,50,0,50,50,20.59,9.8,13.79,0,18.18,16.67,0,81.48,87.5,45.45,100,26.92,23.08,23.08,30.77,0,17.65,0,11.11,13.33,87.5,14.29,74.07,60
coman567,-195.36,283,37.5,0,72.73,33.33,33.33,33.33,18.1,13.79,8.11,0,5.56,12.5,0,100,100,47.62,85.71,28.57,22.86,30,26.67,20,28.57,14.29,0,8.33,88.89,27.78,42.5,75
nikosha8,-34.42,283,30.53,15,50,50,50,0,35.48,9.68,15.79,0,10.53,33.33,0,88,87.5,50,25,23.53,8.82,11.76,35.29,40,11.36,40,6.98,6.45,100,23.53,55.77,20
DeanK2005,-74.49,282,8.45,29.41,25,0,71.43,28.57,51.52,1.53,0,0,0,0,,90,100,33.33,100,28,14,0,35,0,2.04,,9.8,3.33,100,25,53.66,0
