Player;Hands;VPIP;PFR;PFR/VPIP;3Bet PF;CBet F;Flop AF;Flop AFq;Fold to F CBet;Fold to F Bet;CBet T;Turn AF;Turn AFq;Fold T Bet;River AF;River AFq;Fold R Bet;Att To Steal (LP);Fold to Steal;3Bet Steal;3Bet Steal (SB);3Bet Steal (BB);Total AF;Total AFq;WSD;WTSD %;WWSF;Call R & WSD;Bet R & WSD;BB/100;My C Won;Call PF 3Bet;Limp;3Bet F XR;3Bet R;4Bet PF;3Bet BB v SB;XR Flop;XR River;XR Turn;Limp/Raise;Raise F CBet;Raise F CBet (3B);Raise F CBet (non-3B);Raise F Float;Raise First;Raise R CBet;Raise T CBet;Stole;Bet R;Call R Bet;Call R XR;CBet R;Fold R Bet;Fold to R 2Bet;Fold to R 3Bet;Fold to R 4Bet+;Fold to R XR;Fold to R Donk;CBet R & Fold;Raise R CBet;Call R Eff;Saw River;Saw River %;WSDWRR;Bet R & WSD;CBet T & Fold;CBet T & Fold (3B);CBet T & Fold (non-3B);Fold to T CBet;Fold to T XR;Raise T CBet;WSDWRT
fugu82;669;45.92;20.91;45.39;8.36;98.78;1.45;48.17;29.66;33.99;74;1.49;50;31.37;1.98;58.79;17.54;36.8;29.49;5.13;8.11;2.44;1.57;51.17;50.39;41.78;40.46;31.91;62.71;2.85;7.28;60;7.51;11.76;16.67;9.59;0;16.3;0;10.42;0;27.12;37.84;22.22;0;34.49;15.38;6;20.34;69.42;66.67;0;80.95;17.54;38.89;25;50;0;0;100;15.38;2.12;167;74.22;100;62.71;25;;25;36;7.69;6;76.47
ebam_gnasno;649;34.89;12.81;36.61;8.28;46.81;0.8;33.52;32.67;30;53.85;1.48;46.1;35.37;2.62;66.32;15.79;21.88;52.08;8.33;5.88;11.11;1.31;45.3;58.62;39.91;44.95;25;75.86;8.76;315.66;46.51;14.97;0;0;7.06;22.22;10.59;27.78;11.9;4;20.79;24.14;19.44;;17.85;30;13.33;20;55.56;50;;100;15.79;28.57;;;;0;0;30;1.7;118;71.08;100;75.86;50;;50;36.67;20;13.33;46.67
CoolBreeze22523;617;40.78;4.58;11.2;1.59;80.95;0.41;21.05;32.67;32.89;72.73;0.95;34.44;40.59;1.43;35.87;54.69;8.65;39.22;1.96;3.45;0;0.69;28.24;58.33;31.46;32.96;26.09;93.33;-7.6;-93.74;41.86;31.92;50;66.67;7.14;0;0.81;0;15.38;2;0.99;0;1.14;;7.14;15.38;9.52;0;24.27;35.94;;50;54.69;33.33;;;;100;;15.38;1.61;132;69.47;100;93.33;0;;0;33.33;0;9.52;72.73
SonneUndMond;582;25.09;15.14;60.14;7.88;90.7;0.94;38.06;29.03;34.25;71.43;1.22;44.83;23.08;2.06;58.73;29.17;28.13;62.3;13.11;16.67;9.68;1.22;44.72;44.44;39.13;39.86;16.67;61.54;-7.85;-166.73;49.09;1.38;0;33.33;0;9.09;7.84;0;20;0;8.06;8;8.11;0;25;10;32.14;20;58.18;58.33;100;50;29.17;16.67;;0;0;;;10;1.73;68;73.12;40;61.54;100;;100;10.71;50;32.14;50
gerrger;571;37.63;26.7;70.95;12.76;86.05;3.2;60.37;39.68;41.38;80.85;3.69;65.75;35.09;2.75;66;17.07;40.43;63.04;21.74;26.92;15;3.22;63.28;58.02;40.5;43.5;37.5;79.41;13.99;500.34;72.34;2.08;50;16.67;6.52;33.33;28.57;13.33;50;0;34.92;48.28;23.53;25;37.69;0;26.67;17.65;60.98;48.78;0;59.26;17.07;33.33;33.33;;100;0;33.33;0;4.32;109;78.99;60;79.41;28.57;0;40;46.67;28.57;26.67;68.18
rdris2020;564;49.37;19.6;39.64;6.57;74.65;1.37;45.74;39.76;40.35;92.86;1.33;46.84;27.72;2.76;59.7;43.1;25;35.29;3.92;3.57;4.35;1.58;49.31;45.71;38.46;37.73;10.34;58.33;-17.86;-367;70.73;19.82;44.44;22.22;13.51;0;0;21.74;10.53;0;4.82;5;4.76;0;26.28;17.65;14.29;13.89;59.26;34.48;100;94.44;43.1;0;0;;0;25;0;17.65;1.5;148;74.37;30.77;58.33;33.33;0;50;20;12.5;14.29;41.18
GoatJunior;541;44.3;19.7;44.3;6.16;95.16;0.84;36.95;21.52;27.97;87.1;1.25;44.85;27.37;1.94;52.63;40;32.67;35.59;8.47;15.63;0;1.13;42.8;56.44;41.56;39.92;20;75;5.74;62.14;59.52;12.37;0;28.57;7.5;0;2.5;13.04;18.87;0;3.8;4.76;3.45;0;33.88;29.41;16.28;16.28;48.57;47.27;100;57.89;40;14.29;0;;0;33.33;0;29.41;1.45;140;76.92;62.5;75;50;;50;20.93;50;16.28;68.75
avanrule145;517;61.61;34.91;56.55;16.75;74.29;1.35;48.84;22.31;25.68;77.78;1.65;51.38;35;2.17;58.94;30.3;54.55;15.52;13.79;12.5;14.71;1.6;51.94;46.53;46.01;42.17;14.63;72.73;2.78;34.12;76.14;6.51;18.18;0;11.9;25;12.5;11.54;12.73;0;19.01;24.53;14.71;0;53.28;11.11;23.4;15.38;53.85;53.03;100;88.89;30.3;14.29;0;;0;0;0;11.11;1.54;189;75.9;55.56;72.73;0;0;0;27.66;9.09;23.4;80
koldshot;492;20.79;14.79;71;6.32;81.08;2.53;52.75;53.33;48.72;57.89;2;50.79;46.15;0.58;34.38;5.56;30.38;65.96;10.64;18.52;0;1.69;48.92;40.54;37.37;36.36;26.32;62.5;-15.09;-219.39;26.67;1.6;50;0;6.67;0;15.38;0;0;;20;15.38;23.53;;24;0;14.29;10.53;34.48;88.89;;37.5;5.56;25;;;;0;0;0;2.9;42;64.62;;62.5;33.33;0;50;28.57;0;14.29;75
Ken91;488;37.79;28.66;75.69;18.62;83.33;2;57.5;27.27;30.51;75.61;2.17;53.39;42.59;1.65;52.78;30.56;48.42;42.86;19.05;22.73;17.07;1.97;55.14;56.16;43.2;46.15;26.09;80.77;1.66;80.1;42.86;0.82;22.22;33.33;11.11;10;14.29;0;10.71;100;15.91;20;12.5;0;39.91;25;27.27;17.24;48.53;58.33;100;70.59;30.56;0;;;0;0;0;25;1.52;92;70.23;75;80.77;40;25;100;18.18;100;27.27;62.5
